団体コード,都道府県名,郡名,市区町村名
250007,滋賀県,,
252018,滋賀県,,大津市
252026,滋賀県,,彦根市
252034,滋賀県,,長浜市
252042,滋賀県,,近江八幡市
252069,滋賀県,,草津市
252077,滋賀県,,守山市
252085,滋賀県,,栗東市
252093,滋賀県,,甲賀市
252107,滋賀県,,野洲市
252115,滋賀県,,湖南市
252123,滋賀県,,高島市
252131,滋賀県,,東近江市
252140,滋賀県,,米原市
253839,滋賀県,蒲生郡,日野町
253847,滋賀県,蒲生郡,竜王町
254258,滋賀県,愛知郡,愛荘町
254410,滋賀県,犬上郡,豊郷町
254428,滋賀県,犬上郡,甲良町
254436,滋賀県,犬上郡,多賀町
260002,京都府,,
261017,京都府,,京都市北区
261025,京都府,,京都市上京区
261033,京都府,,京都市左京区
261041,京都府,,京都市中京区
261050,京都府,,京都市東山区
261068,京都府,,京都市下京区
261076,京都府,,京都市南区
261084,京都府,,京都市右京区
261092,京都府,,京都市伏見区
261106,京都府,,京都市山科区
261114,京都府,,京都市西京区
262013,京都府,,福知山市
262021,京都府,,舞鶴市
262030,京都府,,綾部市
262048,京都府,,宇治市
262056,京都府,,宮津市
262064,京都府,,亀岡市
262072,京都府,,城陽市
262081,京都府,,向日市
262099,京都府,,長岡京市
262102,京都府,,八幡市
262111,京都府,,京田辺市
262129,京都府,,京丹後市
262137,京都府,,南丹市
262145,京都府,,木津川市
263036,京都府,乙訓郡,大山崎町
263222,京都府,久世郡,久御山町
263435,京都府,綴喜郡,井手町
263443,京都府,綴喜郡,宇治田原町
263648,京都府,相楽郡,笠置町
263656,京都府,相楽郡,和束町
263664,京都府,相楽郡,精華町
263672,京都府,相楽郡,南山城村
264075,京都府,船井郡,京丹波町
264636,京都府,与謝郡,伊根町
264652,京都府,与謝郡,与謝野町
270008,大阪府,,
271021,大阪府,,大阪市都島区
271039,大阪府,,大阪市福島区
271047,大阪府,,大阪市此花区
271063,大阪府,,大阪市西区
271071,大阪府,,大阪市港区
271080,大阪府,,大阪市大正区
271098,大阪府,,大阪市天王寺区
271110,大阪府,,大阪市浪速区
271136,大阪府,,大阪市西淀川区
271144,大阪府,,大阪市東淀川区
271152,大阪府,,大阪市東成区
271161,大阪府,,大阪市生野区
271179,大阪府,,大阪市旭区
271187,大阪府,,大阪市城東区
271195,大阪府,,大阪市阿倍野区
271209,大阪府,,大阪市住吉区
271217,大阪府,,大阪市東住吉区
271225,大阪府,,大阪市西成区
271233,大阪府,,大阪市淀川区
271241,大阪府,,大阪市鶴見区
271250,大阪府,,大阪市住之江区
271268,大阪府,,大阪市平野区
271276,大阪府,,大阪市北区
271284,大阪府,,大阪市中央区
271411,大阪府,,堺市堺区
271420,大阪府,,堺市中区
271438,大阪府,,堺市東区
271446,大阪府,,堺市西区
271454,大阪府,,堺市南区
271462,大阪府,,堺市北区
271471,大阪府,,堺市美原区
272027,大阪府,,岸和田市
272035,大阪府,,豊中市
272043,大阪府,,池田市
272051,大阪府,,吹田市
272060,大阪府,,泉大津市
