都道府県名,市区町村名,開設局数
滋賀県,滋賀県,268
滋賀県,大津市,0
滋賀県,彦根市,0
滋賀県,長浜市,0
滋賀県,近江八幡市,0
滋賀県,草津市,0
滋賀県,守山市,0
滋賀県,栗東市,0
滋賀県,甲賀市,0
滋賀県,野洲市,0
滋賀県,湖南市,0
滋賀県,高島市,0
滋賀県,東近江市,0
滋賀県,米原市,0
滋賀県,蒲生郡日野町,0
滋賀県,蒲生郡竜王町,0
滋賀県,愛知郡愛荘町,0
滋賀県,犬上郡豊郷町,0
滋賀県,犬上郡甲良町,0
滋賀県,犬上郡多賀町,0
京都府,京都府,988
京都府,京都市北区,0
京都府,京都市上京区,0
京都府,京都市左京区,0
京都府,京都市中京区,0
京都府,京都市東山区,0
京都府,京都市下京区,0
京都府,京都市南区,0
京都府,京都市右京区,0
京都府,京都市伏見区,0
京都府,京都市山科区,0
京都府,京都市西京区,0
京都府,福知山市,0
京都府,舞鶴市,0
京都府,綾部市,0
京都府,宇治市,0
京都府,宮津市,0
京都府,亀岡市,0
京都府,城陽市,0
京都府,向日市,0
京都府,長岡京市,0
京都府,八幡市,0
京都府,京田辺市,0
京都府,京丹後市,0
京都府,南丹市,0
京都府,木津川市,0
京都府,乙訓郡大山崎町,0
京都府,久世郡久御山町,0
京都府,綴喜郡井手町,0
京都府,綴喜郡宇治田原町,0
京都府,相楽郡笠置町,0
京都府,相楽郡和束町,0
京都府,相楽郡精華町,0
京都府,相楽郡南山城村,0
京都府,船井郡京丹波町,0
京都府,与謝郡伊根町,0
京都府,与謝郡与謝野町,0
大阪府,大阪府,5381
大阪府,大阪市都島区,0
大阪府,大阪市福島区,0
大阪府,大阪市此花区,0
大阪府,大阪市西区,0
大阪府,大阪市港区,0
大阪府,大阪市大正区,0
大阪府,大阪市天王寺区,0
大阪府,大阪市浪速区,0
大阪府,大阪市西淀川区,0
大阪府,大阪市東淀川区,0
大阪府,大阪市東成区,0
大阪府,大阪市生野区,0
大阪府,大阪市旭区,0
大阪府,大阪市城東区,0
大阪府,大阪市阿倍野区,0
大阪府,大阪市住吉区,0
大阪府,大阪市東住吉区,0
大阪府,大阪市西成区,0
大阪府,大阪市淀川区,0
大阪府,大阪市鶴見区,0
大阪府,大阪市住之江区,0
大阪府,大阪市平野区,0
大阪府,大阪市北区,0
大阪府,大阪市中央区,0
大阪府,堺市堺区,0
大阪府,堺市中区,0
大阪府,堺市東区,0
大阪府,堺市西区,0
大阪府,堺市南区,0
大阪府,堺市北区,0
大阪府,堺市美原区,0
大阪府,岸和田市,0
大阪府,豊中市,0
大阪府,池田市,0
大阪府,吹田市,0
大阪府,泉大津市,0
大阪府,高槻市,0
大阪府,貝塚市,0
大阪府,守口市,0
大阪府,枚方市,0
大阪府,茨木市,0
大阪府,八尾市,0
大阪府,泉佐野市,0
大阪府,富田林市,0
大阪府,寝屋川市,0
大阪府,河内長野市,0
大阪府,松原市,0
大阪府,大東市,0
大阪府,和泉市,0
大阪府,箕面市,0
大阪府,柏原市,0
大阪府,羽曳野市,0
大阪府,門真市,0
大阪府,摂津市,0
大阪府,高石市,0
大阪府,藤井寺市,0
大阪府,東大阪市,0
大阪府,泉南市,0
大阪府,四條畷市,0
大阪府,交野市,0
大阪府,大阪狭山市,0
大阪府,阪南市,0
大阪府,三島郡島本町,0
大阪府,豊能郡豊能町,0
大阪府,豊能郡能勢町,0
大阪府,泉北郡忠岡町,0
大阪府,泉南郡熊取町,0
大阪府,泉南郡田尻町,0
大阪府,泉南郡岬町,0
大阪府,南河内郡太子町,0
大阪府,南河内郡河南町,0
大阪府,南河内郡千早赤阪村,0
兵庫県,兵庫県,1840
兵庫県,神戸市東灘区,0
兵庫県,神戸市灘区,0
兵庫県,神戸市兵庫区,0
兵庫県,神戸市長田区,0
兵庫県,神戸市須磨区,0
兵庫県,神戸市垂水区,0
兵庫県,神戸市北区,0
兵庫県,神戸市中央区,0
兵庫県,神戸市西区,0
兵庫県,姫路市,0
兵庫県,尼崎市,0
兵庫県,明石市,0
兵庫県,西宮市,0
兵庫県,洲本市,0
兵庫県,芦屋市,0
兵庫県,伊丹市,0
兵庫県,相生市,0
兵庫県,豊岡市,0
兵庫県,加古川市,0
