都道府県名,市区町村名,開設局数,25/12,25/11,25/10,25/09,25/08,25/07,25/06,25/05,25/04,25/03,25/02,25/01,24/12,24/11,24/10,24/09,24/08,24/07,24/06,24/05,24/04,24/03,24/02,24/01,23/12,23/11,23/10,23/09,23/08,23/07,23/06,23/05,23/04,23/03,23/02,23/01,22/12,22/11,22/10,22/09,22/08,22/07,22/06,22/05,22/04,22/03,22/02,22/01,21/12,21/11
滋賀県,滋賀県,726,0,1,2,0,0,0,0,0,3,1,1,1,1,3,-1,1,0,0,0,1,1,4,0,2,1,2,4,6,3,1,5,5,14,21,18,3,5,3,1,17,20,24,31,23,35,44,37,35,20,3
滋賀県,大津市,124,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,0,0,4,2,4,3,2,7,4,3,14,7,0
滋賀県,彦根市,49,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,4,1,1,1,0,1,0,3,1,0
滋賀県,長浜市,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,2,3,2,0,0,0,1,2,1,0,3,3,12,15,12,3,2,0
滋賀県,近江八幡市,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,3,2,0,1,0
滋賀県,草津市,43,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,2,1,2,2,3,0
滋賀県,守山市,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,2,0
滋賀県,栗東市,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,2,2,0
滋賀県,甲賀市,66,0,0,0,0,0,0,0,0,2,1,0,0,0,2,-1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,1,6,3,3,1,2,0,0,2,1,2,2,1,2,5,5,0,1,0
滋賀県,野洲市,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,1,1,0,0
滋賀県,湖南市,34,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,6,0,1,0
滋賀県,高島市,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,3,1,0,2,0,3,2,0,5,7,2,1,0,1,0,3
滋賀県,東近江市,57,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,3,1,1,0,0,1,2,1,0,0
滋賀県,米原市,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,4,5,1,1,6,1,0,0,0
滋賀県,蒲生郡日野町,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,0,0,0,0,0,2,1,3,1,1,0,0,0,0,0
滋賀県,蒲生郡竜王町,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,2,2,0,0
滋賀県,愛知郡愛荘町,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0
滋賀県,犬上郡豊郷町,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0
滋賀県,犬上郡甲良町,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
滋賀県,犬上郡多賀町,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0
京都府,京都府,1172,0,0,-18,0,1,5,1,11,-12,1,1,-1,1,1,8,10,0,14,16,6,-1,1,1,3,3,5,7,12,0,6,8,20,36,40,21,16,15,9,23,40,28,32,49,24,42,40,46,24,34,3
京都府,京都市北区,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,4,1,1,2,2,2,1,0,1
京都府,京都市上京区,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0
京都府,京都市左京区,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,1,0,0,0,0,2,0,0,5,3,2,2,2,1,0,0
京都府,京都市中京区,52,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,3,0,0,0,1,0,0,0,0
京都府,京都市東山区,44,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
京都府,京都市下京区,66,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,4,0,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,2,2,0,1,1,0,0,1,0
京都府,京都市南区,53,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,1,1,0,0,0,0,0,1,0,3,4,0,1,2,2,1,1,2,2,2,0
京都府,京都市右京区,79,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,2,0,0,0,1,5,1,0,0,4,0,0,0,1,1,1,0,1,2,0,1,0,0,3,5,3,2,3,3,2,2,0
京都府,京都市伏見区,89,0,0,0,0,0,1,0,2,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,3,4,1,6,6,3,2,2,6,4,5,0
京都府,京都市山科区,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,1,2,2,1,1,1,0
京都府,京都市西京区,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,1,3,0,2,1,2,1
京都府,福知山市,59,0,0,-8,0,0,0,1,5,-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,3,9,5,2,0,1,0,1,6,1,2,2,0,6,0,1,0,0,0
