市区町村名,増減数,開設局数,前回
奈良県,0,701,701
奈良市,-109,0,109
大和高田市,-27,0,27
大和郡山市,-34,0,34
天理市,-32,0,32
橿原市,-40,0,40
桜井市,-32,0,32
五條市,-41,0,41
御所市,-33,0,33
生駒市,-32,0,32
香芝市,-24,0,24
葛城市,-19,0,19
宇陀市,-53,0,53
山添村,-6,0,6
平群町,-9,0,9
三郷町,-10,0,10
斑鳩町,-11,0,11
安堵町,-6,0,6
川西町,-6,0,6
三宅町,-3,0,3
田原本町,-19,0,19
曽爾村,-1,0,1
御杖村,-3,0,3
高取町,-9,0,9
明日香村,-8,0,8
上牧町,-10,0,10
王寺町,-11,0,11
広陵町,-18,0,18
河合町,-13,0,13
吉野町,-8,0,8
大淀町,-20,0,20
下市町,-6,0,6
黒滝村,-1,0,1
天川村,-3,0,3
野迫川村,-1,0,1
十津川村,-28,0,28
下北山村,-1,0,1
上北山村,-1,0,1
川上村,-4,0,4
東吉野村,-9,0,9
